type,資料來源,鄉鎮市區,建案名稱,戶數,首交易,末交易,建坪_中位,每坪單價_萬_中位,每坪單價_萬_最低,每坪單價_萬_最高,總價_萬_中位,門牌樣本,棟號樣本,備註樣本,建物型態,主要建材,解約筆數,focus_target
presale_project,MOI實價登錄(預售屋),員山鄉,禾耘灃築,2,2024-08-03,2025-09-20,57.3,26.2,25.7,26.6,1498,宜蘭縣員山鄉蘭城二路,A1棟0號;A2棟0號,,透天厝,鋼筋混凝土造,0,False
presale_project,MOI實價登錄(預售屋),員山鄉,羽松,2,2024-12-28,2025-01-11,45.6,23.1,22.6,23.7,1055,宜蘭縣員山鄉深溝村12鄰深洲路77巷30弄20之12號,B3棟0號;B5棟0號,,透天厝,鋼筋混凝土造,0,False
presale_project,MOI實價登錄(預售屋),員山鄉,京采員山8,1,2024-07-06,2024-07-06,54.6,20.1,20.1,20.1,1098,宜蘭縣員山鄉長堤路32巷,A棟1號,,透天厝,鋼筋混凝土造,0,False
presale_project,MOI實價登錄(預售屋),礁溪鄉,鳳凰愛買11-阡荀,19,2024-05-17,2025-07-08,44.7,28.6,25.5,32.6,1283,宜蘭縣礁溪鄉柴圍路,A棟19號;C棟8號;A棟7號;B棟11號;A棟5號,土地總價包含農地價格4萬元整。;土地總價包含農地價格24萬元整。,透天厝,鋼筋混凝土造,0,False
presale_project,MOI實價登錄(預售屋),礁溪鄉,龍潭天下,19,2025-08-21,2025-11-15,40.9,22.6,21.6,25.5,935,宜蘭縣礁溪鄉龍潭路556巷底,B棟8號;E棟3號;A棟2號;B棟4號;E棟1號,主建物內含車位面積20.15平方公尺;車位位於法定空地上。,透天厝,鋼筋混凝土造,0,False
presale_project,MOI實價登錄(預售屋),礁溪鄉,早稻田,15,2024-05-31,2026-03-25,50.3,25.4,23.0,26.2,1278,宜蘭縣礁溪鄉踏踏三路,A棟5號;B棟5號;A棟3號;A棟6號;B棟6號,解約後再次出售之交易,透天厝,鋼筋混凝土造,1,False
presale_project,MOI實價登錄(預售屋),礁溪鄉,玉田森活2,11,2024-06-02,2024-12-05,57.0,22.7,21.4,23.1,1258,宜蘭縣礁溪鄉踏踏二路,B棟2號;B棟3號;A棟2號;A棟1號;B棟5號,交易總價包含玉田段1083地號農地持分交易價款4萬元整;交易總價包含玉田段1083地號農地持分交易價款壹拾參萬元整,透天厝,鋼筋混凝土造,0,False
presale_project,MOI實價登錄(預售屋),礁溪鄉,礁溪御田,9,2024-05-26,2024-10-27,43.1,20.4,19.4,21.1,878,宜蘭縣礁溪鄉車路頭路,B棟12號;A棟20號;B棟19號;A棟8號;A棟13號,,透天厝,鋼筋混凝土造,0,False
presale_project,MOI實價登錄(預售屋),礁溪鄉,鳳凰愛買15期,7,2025-03-03,2026-01-21,52.0,31.7,30.5,32.2,1655,宜蘭縣礁溪鄉育龍路,E棟2號;E棟3號;E棟11號;E棟12號;E棟5號,主建物內含車位面積13.75平方公尺。,透天厝,鋼筋混凝土造,0,False
presale_project,MOI實價登錄(預售屋),礁溪鄉,礁溪帝堡,2,2025-05-18,2025-05-21,56.6,47.1,46.8,47.4,2668,宜蘭縣礁溪鄉公園北路,A棟5號;B棟5號,車位位於法定空地上面積13.75平方公尺,透天厝,鋼筋混凝土造,0,False
presale_project,MOI實價登錄(預售屋),礁溪鄉,元登2,1,2026-03-09,2026-03-09,56.1,24.7,24.7,24.7,1388,宜蘭縣礁溪鄉塭底路,A棟1號,,透天厝,鋼筋混凝土造,0,False
presale_project,MOI實價登錄(預售屋),礁溪鄉,玉屏鮮境2,1,2024-12-10,2024-12-10,59.1,25.4,25.4,25.4,1500,宜蘭縣礁溪鄉白雲五路,A棟6號,,透天厝,鋼筋混凝土造,0,False
presale_project,MOI實價登錄(預售屋),礁溪鄉,耀丞-城?,1,2025-08-03,2025-08-03,49.9,27.7,27.7,27.7,1380,宜蘭縣礁溪鄉永興街,A棟1號,主建物內含車位面積40.18平方公尺,透天厝,鋼筋混凝土造,0,False
presale_project,MOI實價登錄(預售屋),礁溪鄉,運德大玉,1,2024-10-11,2024-10-11,72.0,24.1,24.1,24.1,1738,宜蘭縣礁溪鄉瑪僯路,A棟6號,,透天厝,鋼筋混凝土造,0,False
presale_project,MOI實價登錄(預售屋),礁溪鄉,鈺雲居,1,2026-01-10,2026-01-10,56.2,25.8,25.8,25.8,1450,宜蘭縣礁溪鄉白雲五路93巷,A6棟0號,交易總價不含電梯,透天厝,鋼筋混凝土造,0,False
presale_project,MOI實價登錄(預售屋),羅東鎮,頤和竹林,32,2024-12-30,2025-10-22,50.2,33.7,27.0,34.9,1698,宜蘭縣羅東鎮復興路三段388巷,B棟3號;C棟1號;D棟2號;D棟16號;D棟19號,,透天厝,鋼筋混凝土造,0,False
presale_project,MOI實價登錄(預售屋),羅東鎮,勤大德?,1,2024-09-20,2024-09-20,77.5,38.9,38.9,38.9,3020,宜蘭縣羅東鎮東榮路二段,B棟1號,,透天厝,鋼筋混凝土造,0,False
presale_project,MOI實價登錄(預售屋),羅東鎮,禮里,1,2024-12-26,2024-12-26,61.5,43.1,43.1,43.1,2650,宜蘭縣羅東鎮南昌東街,E棟0號,,透天厝,鋼筋混凝土造,0,False
presale_project,MOI實價登錄(預售屋),羅東鎮,羅東春天之綻,1,2024-09-20,2024-09-20,66.0,39.4,39.4,39.4,2598,宜蘭縣羅東鎮中山路一段,1棟A5號,,透天厝,鋼筋混凝土造,0,False
presale_project,MOI實價登錄(預售屋),羅東鎮,美澍家NO.10,1,2026-03-14,2026-03-14,65.7,36.3,36.3,36.3,2380,宜蘭縣羅東鎮月眉路,D棟7號,,透天厝,鋼筋混凝土造,0,False
presale_project,MOI實價登錄(預售屋),羅東鎮,豐禾日立,1,2024-09-21,2024-09-21,87.3,37.5,37.5,37.5,3276,宜蘭縣羅東鎮中華路,D棟1號,,透天厝,鋼筋混凝土造,0,False
presale_project,MOI實價登錄(預售屋),蘇澳鎮,靚永美6,24,2024-06-07,2024-09-06,42.8,21.3,20.6,22.7,928,宜蘭縣蘇澳鎮福德西巷,A棟8號;C棟8號;A棟1號;A棟2號;B棟2號,,透天厝,鋼筋混凝土造,1,False
presale_project,MOI實價登錄(預售屋),蘇澳鎮,謙羽上品,9,2024-05-19,2024-09-19,41.3,23.2,22.1,24.0,958,宜蘭縣蘇澳鎮隆恩路,A棟1號;A棟8號;B棟8號;B棟3號;A棟10號,交易總價包含新隆恩段361-2地號1筆，農地面積573.24m2、權利範圍5555/100000，交易總價款共計96000元整。;交易總價包含新隆恩段361-2地號1筆，農地面積573.24m2、權利範圍5565/100000，交易總價款共計96000元整,透天厝,鋼筋混凝土造,1,False
presale_project,MOI實價登錄(預售屋),蘇澳鎮,卓閱,8,2025-10-14,2026-01-20,54.2,24.3,22.8,26.2,1368,宜蘭縣蘇澳鎮信義路,B棟10號;D棟1號;D棟3號;C棟8號;D棟2號,,透天厝,鋼筋混凝土造,0,False
presale_project,MOI實價登錄(預售屋),蘇澳鎮,耀建築,8,2024-06-16,2024-12-23,44.6,22.2,19.5,27.4,980,宜蘭縣蘇澳鎮城東路及隘丁路交叉口,A棟5號;C棟2號;C棟5號;C棟11號;C棟12號,交易總價含下列非屬預售屋價格之費用:贈送家電冷氣提貨?費:160000元;交易總價含下列非屬預售屋價格之費用:贈送家電冷氣提貨?費:100000元,透天厝,鋼筋混凝土造,0,False
presale_project,MOI實價登錄(預售屋),蘇澳鎮,群亦澄亦,7,2025-10-08,2025-10-25,47.4,23.0,22.3,24.7,1088,宜蘭縣蘇澳鎮新榮路,B1號;B2號;B3號;B5號;B6號,,透天厝,鋼筋混凝土造,0,False
presale_project,MOI實價登錄(預售屋),蘇澳鎮,百亨優閣透天別墅NO.10,5,2024-06-24,2025-03-28,48.2,21.3,20.4,21.4,1028,宜蘭縣蘇澳鎮思村路,1棟A8號;1棟A15號;1棟A13號;1棟A11號;1棟A10號,親友、員工、共有人或其他特殊關係間之交易；,透天厝,鋼筋混凝土造,0,False
presale_project,MOI實價登錄(預售屋),蘇澳鎮,森悅境,4,2024-06-01,2024-06-15,45.2,19.8,19.7,20.8,893,宜蘭縣蘇澳鎮光榮路,B棟3號;B棟6號;B棟8號;B棟9號,,透天厝,鋼筋混凝土造,0,False
presale_project,MOI實價登錄(預售屋),蘇澳鎮,青山水岸三期,3,2025-03-06,2025-06-11,56.8,19.9,19.4,20.1,1140,宜蘭縣蘇澳鎮聖愛路,A棟1號;B棟1號;B棟6號,,透天厝,鋼筋混凝土造,0,False
presale_project,MOI實價登錄(預售屋),蘇澳鎮,御品,1,2025-07-16,2025-07-16,47.9,24.5,24.5,24.5,1176,宜蘭縣蘇澳鎮蘇濱路二段125巷26弄,A棟11號,,透天厝,鋼筋混凝土造,0,False
presale_project,MOI實價登錄(預售屋),蘇澳鎮,日安居,1,2024-10-11,2024-10-11,55.0,19.3,19.3,19.3,1060,宜蘭縣蘇澳鎮志成路115巷42弄18號,1棟A3號,,透天厝,鋼筋混凝土造,0,False
presale_project,MOI實價登錄(預售屋),頭城鎮,遇上荷蘭,22,2024-09-21,2026-02-12,36.7,31.8,26.6,34.2,1118,宜蘭縣頭城鎮新忠路,E棟2號;B棟10號;C棟5號;B棟13號;C棟2號,依變更備查申報書序號 : G2G011307160001-02 辦理385地號土地面積，為日後須辦理土地分割後割標示之面積。河川區域線426地號;依變更備查申報書序號 : G2G011307160001-02 辦理385地號土地面積，為日後須辦理土地分割後割標示之面積。河川區域線426地號，暫定不能申請新建住宅使用。,透天厝,鋼筋混凝土造,1,False
presale_project,MOI實價登錄(預售屋),頭城鎮,唐承沐?,11,2024-08-11,2024-11-01,40.7,24.8,22.5,26.2,1022,宜蘭縣頭城鎮頭濱路二段,A1棟0號;B6棟0號;B3棟0號;A4棟0號;A2棟0號,,透天厝,鋼筋混凝土造,0,False
presale_project,MOI實價登錄(預售屋),頭城鎮,人文精品,7,2025-08-15,2025-10-11,59.9,23.0,21.7,25.9,1380,宜蘭縣頭城鎮復興路12巷,A7棟0號;A9棟0號;A8棟0號;A1棟0號;A2棟0號,,透天厝,鋼筋混凝土造,0,False
presale_project,MOI實價登錄(預售屋),頭城鎮,享享生活,6,2025-08-10,2026-03-21,41.2,25.7,24.2,26.4,1069,宜蘭縣頭城鎮下埔路,A棟2號;A棟9號;A棟12號;A棟5號;B棟2號,,透天厝,鋼筋混凝土造,0,False
presale_project,MOI實價登錄(預售屋),頭城鎮,蒔光匯,5,2025-01-06,2026-01-14,67.5,28.9,28.5,32.9,1950,宜蘭縣頭城鎮文化路61巷,E棟0號;D棟0號;F棟0號;A棟0號;B棟0號,,透天厝,鋼筋混凝土造,0,False
presale_project,MOI實價登錄(預售屋),頭城鎮,嶠見築,4,2025-07-10,2026-04-08,54.6,27.0,26.6,27.5,1475,宜蘭縣頭城鎮二城路16巷,F棟0號;B棟0號;C棟0號;E棟0號,親友、員工、共有人或其他特殊關係間之交易；,透天厝,鋼筋混凝土造,0,False
presale_project,MOI實價登錄(預售屋),頭城鎮,歆悅,4,2024-07-20,2025-10-31,53.0,26.4,25.8,26.7,1391,宜蘭縣頭城鎮三和路600巷96號旁,A棟5號;A棟2號;A棟3號;A棟1號,變更屋突一層,透天厝,鋼筋混凝土造,0,False
presale_project,MOI實價登錄(預售屋),頭城鎮,昌元吉第(烏石港案),2,2025-02-27,2025-06-08,43.9,39.4,33.1,45.7,1710,宜蘭縣頭城鎮環鎮東路二段,B棟1號;A棟1號,主建物面積包含車位面積28.23平方公尺,透天厝,鋼筋混凝土造,0,False
presale_project,MOI實價登錄(預售屋),頭城鎮,京采頭城3,1,2026-01-22,2026-01-22,65.6,22.7,22.7,22.7,1488,宜蘭縣頭城鎮宜三路一段,1棟A8號,,透天厝,鋼筋混凝土造,0,False
